index,coordinates,year,masked_ag,masked_urb,window_ag,cdl_ag,landcover,category,observer,landcover_code,strata,geometry,eco_region,strata_def,glad_ag
8566,"[-95.13118434637948, 42.31159311307779]",1996,0,0,0,-999.0,na,210,sean,0,2.0,POINT (-95.13118434637948 42.31159311307779),GREAT PLAINS,cropland gain,-999.0
4960,"[-112.82916325340341, 52.87901478934619]",1996,1,0,1,-999.0,na,110,sean,0,1.0,POINT (-112.82916325340341 52.87901478934619),GREAT PLAINS,likely stable croplands,-999.0
15677,"[-109.39472425915766, 46.6739019642906]",1996,0,0,0,-999.0,na,410,sean,0,4.0000000001,POINT (-109.39472425915766 46.6739019642906),GREAT PLAINS,likely non-cropland,-999.0
12055,"[-103.59654825780821, 33.930850501413126]",1996,1,0,1,-999.0,ag,310,sean,1,3.0,POINT (-103.59654825780821 33.930850501413126),GREAT PLAINS,cropland loss,-999.0
15390,"[-96.02698434770346, 45.11918770206494]",1996,0,0,0,-999.0,na,410,sean,0,4.0000000001,POINT (-96.02698434770346 45.11918770206494),GREAT PLAINS,likely non-cropland,-999.0
8500,"[-104.2759441071878, 49.35294763612025]",1996,0,0,0,-999.0,ag,210,sean,1,2.0,POINT (-104.2759441071878 49.35294763612025),GREAT PLAINS,cropland gain,-999.0
15633,"[-105.15341847671574, 44.191856834268364]",1996,0,0,0,-999.0,na,410,sean,0,4.0000000001,POINT (-105.15341847671574 44.191856834268364),GREAT PLAINS,likely non-cropland,-999.0
4859,"[-98.34625474824325, 38.37535520112287]",1996,1,0,1,-999.0,ag,110,sean,1,1.0,POINT (-98.34625474824325 38.37535520112287),GREAT PLAINS,likely stable croplands,-999.0
11846,"[-91.92554625499896, 39.71474328974508]",1996,1,0,1,-999.0,na,310,sean,0,3.0,POINT (-91.92554625499896 39.71474328974508),GREAT PLAINS,cropland loss,-999.0
15458,"[-100.76712460741695, 28.37872305638401]",1996,1,0,1,-999.0,ag,410,sean,1,4.0000000001,POINT (-100.76712460741695 28.37872305638401),GREAT PLAINS,likely non-cropland,-999.0
4861,"[-97.25480167803804, 39.07631061732133]",1996,1,0,1,-999.0,ag,110,sean,1,1.0,POINT (-97.25480167803804 39.07631061732133),GREAT PLAINS,likely stable croplands,-999.0
15606,"[-92.24732278977058, 39.02187271110369]",1996,0,0,1,-999.0,ag,410,sean,1,4.0000000001,POINT (-92.24732278977058 39.02187271110369),GREAT PLAINS,likely non-cropland,-999.0
4912,"[-93.11617333257098, 40.74636856202794]",1996,0,0,1,-999.0,ag,110,sean,1,1.0,POINT (-93.11617333257098 40.74636856202794),GREAT PLAINS,likely stable croplands,-999.0
5097,"[-95.37319048392128, 42.05745971920038]",1996,1,0,1,-999.0,ag,110,sean,1,1.0,POINT (-95.37319048392128 42.05745971920038),GREAT PLAINS,likely stable croplands,-999.0
4837,"[-96.68212568441183, 47.1721974523917]",1996,1,0,1,-999.0,ag,110,sean,1,1.0,POINT (-96.68212568441183 47.1721974523917),GREAT PLAINS,likely stable croplands,-999.0
15588,"[-103.59520078488202, 45.51291929109453]",1996,0,0,0,-999.0,na,410,sean,0,4.0000000001,POINT (-103.59520078488202 45.51291929109453),GREAT PLAINS,likely non-cropland,-999.0
