eco_region,year,system:index,caAcreage,chunk,mxAcreage,totalAcreage,usAcreage,us_mill_acres,canada_mill_acres,mx_mill_acres,total_mill_acres
SOUTHERN SEMIARID HIGHLANDS,2007,0,0.0,47,29126121469.64424,30279745748.19783,1153624269.5401537,0.2850667653635593,0.0,7.197221360683767,7.482288128274594
SOUTHERN SEMIARID HIGHLANDS,2008,0,0.0,51,29536000133.81737,30702623214.576935,1166623071.7461474,0.28827883934319254,0.0,7.298504584409587,7.586783425980044
SOUTHERN SEMIARID HIGHLANDS,2009,0,0.0,55,29801142389.763794,30974963982.921112,1173821584.1438668,0.290057630496282,0.0,7.364022662747148,7.654080295470703
SOUTHERN SEMIARID HIGHLANDS,2010,0,0.0,59,30017777505.487206,31197677143.781612,1179899629.2809515,0.2915595481593467,0.0,7.417554365688913,7.709113916075532
SOUTHERN SEMIARID HIGHLANDS,2011,0,0.0,63,30195564626.856518,31381322810.649025,1185758174.7790594,0.29300722628035797,0.0,7.4614865201608795,7.7544937486685095
SOUTHERN SEMIARID HIGHLANDS,2012,0,0.0,67,30772662279.211864,31975427883.08424,1202765594.8589547,0.2972098513094652,0.0,7.604090455774525,7.901300309311255
SOUTHERN SEMIARID HIGHLANDS,2013,0,0.0,71,31448874702.03312,32666278775.976944,1217404049.9036753,0.30082709232952604,0.0,7.7711861845677035,8.07201328283768
SOUTHERN SEMIARID HIGHLANDS,2014,0,0.0,75,32345328134.09156,33575513652.62762,1230185494.4959264,0.30398545607306876,0.0,7.992704651995427,8.29669011400894
SOUTHERN SEMIARID HIGHLANDS,2015,0,0.0,79,32500603750.816154,33748700960.312984,1248097185.456694,0.3084115313032761,0.0,8.031074092521461,8.339485629765184
SOUTHERN SEMIARID HIGHLANDS,2016,0,0.0,83,32743075582.115295,34001380303.25707,1258304646.0867863,0.310933849757582,0.0,8.090990186925213,8.401924055229285
SOUTHERN SEMIARID HIGHLANDS,2017,0,0.0,87,33241516473.493065,34565458047.982025,1323941484.4071727,0.3271530657386586,0.0,8.214157613600994,8.541310701599347
SOUTHERN SEMIARID HIGHLANDS,2018,0,0.0,91,33567623358.311703,34925546080.53211,1357922632.1386569,0.33554999021651893,0.0,8.294740379820963,8.630290392297168
SOUTHERN SEMIARID HIGHLANDS,2019,0,0.0,95,33838640812.217896,35217154285.68338,1378513383.3837132,0.3406380756606416,0.0,8.361710251192429,8.70234834911276
SOUTHERN SEMIARID HIGHLANDS,2020,0,0.0,99,34128598038.592506,35532129532.64259,1403531403.9683166,0.34682016318441966,0.0,8.43336024226738,8.78018042771149
SOUTHERN SEMIARID HIGHLANDS,2021,0,0.0,103,34501207866.049675,36055694618.78023,1554486022.5077326,0.3841218618049544,0.0,8.525434135874203,8.909556178121147
TEMPERATE SIERRAS,1996,0,0.0,1,0.0,19494701.18513375,19494701.18513375,0.004817245575797757,0.0,0.0,0.004817245575797757
TEMPERATE SIERRAS,1997,0,0.0,5,0.0,21823359.5885151,21823359.5885151,0.0053926695992132815,0.0,0.0,0.0053926695992132815
TEMPERATE SIERRAS,1998,0,0.0,9,0.0,22643788.394911584,22643788.394911584,0.0055954019725047675,0.0,0.0,0.0055954019725047675
TEMPERATE SIERRAS,1999,0,0.0,13,0.0,23603567.306837853,23603567.306837853,0.005832568506801102,0.0,0.0,0.005832568506801102
TEMPERATE SIERRAS,2000,0,0.0,17,0.0,24659680.56741417,24659680.56741417,0.006093539777083113,0.0,0.0,0.006093539777083113
TEMPERATE SIERRAS,2001,0,0.0,21,0.0,26101448.993744735,26101448.993744735,0.0064498085142701295,0.0,0.0,0.0064498085142701295
TEMPERATE SIERRAS,2002,0,0.0,25,0.0,26348079.48092735,26348079.48092735,0.006510752234922965,0.0,0.0,0.006510752234922965
TEMPERATE SIERRAS,2003,0,0.0,29,0.0,28398491.713471293,28398491.713471293,0.007017420132111159,0.0,0.0,0.007017420132111159
TEMPERATE SIERRAS,2004,0,0.0,33,0.0,29636825.098153144,29636825.098153144,0.007323418975697967,0.0,0.0,0.007323418975697967
TEMPERATE SIERRAS,2005,0,0.0,37,0.0,31302709.032338336,31302709.032338336,0.0077350678609789504,0.0,0.0,0.0077350678609789504
TEMPERATE SIERRAS,2006,0,0.0,41,0.0,32602367.41600533,32602367.41600533,0.008056220441842442,0.0,0.0,0.008056220441842442
TEMPERATE SIERRAS,2007,0,0.0,45,0.0,32769505.54741402,32769505.54741402,0.00809752117358639,0.0,0.0,0.00809752117358639
TEMPERATE SIERRAS,2008,0,0.0,49,0.0,33495303.09218415,33495303.09218415,0.008276869652861106,0.0,0.0,0.008276869652861106
TEMPERATE SIERRAS,2009,0,0.0,53,0.0,33562057.26656158,33562057.26656158,0.008293364968594952,0.0,0.0,0.008293364968594952
TEMPERATE SIERRAS,2010,0,0.0,57,0.0,34137200.926778875,34137200.926778875,0.008435486062235653,0.0,0.0,0.008435486062235653
TEMPERATE SIERRAS,2011,0,0.0,61,0.0,45433553.28461435,45433553.28461435,0.011226875522461542,0.0,0.0,0.011226875522461542
TEMPERATE SIERRAS,2012,0,0.0,65,0.0,46260299.64142587,46260299.64142587,0.011431168996459198,0.0,0.0,0.011431168996459198
TEMPERATE SIERRAS,2013,0,0.0,69,0.0,59180847.33474959,59180205.393015906,0.014623747237619045,0.0,0.0,0.01462390586487612
TEMPERATE SIERRAS,2014,0,0.0,73,0.0,72014783.5675348,72014141.62580112,0.01779508194802748,0.0,0.0,0.017795240575284556
TEMPERATE SIERRAS,2015,0,0.0,77,0.0,76370554.53048646,76369912.58875278,0.018871416394049576,0.0,0.0,0.018871575021306652
TEMPERATE SIERRAS,2016,0,0.0,81,0.0,78063868.20467602,78063226.26294233,0.0192898433157019,0.0,0.0,0.019290001942958976
TEMPERATE SIERRAS,2017,0,0.0,85,0.0,78263775.90114817,78263133.95941448,0.01933924158332617,0.0,0.0,0.01933940021058325
TEMPERATE SIERRAS,2018,0,0.0,89,0.0,78319410.94271311,78318769.00097944,0.019352989301503174,0.0,0.0,0.019353147928760243
TEMPERATE SIERRAS,2019,0,0.0,93,0.0,78523337.52096018,78522695.5792265,0.019403380656442093,0.0,0.0,0.019403539283699166
TEMPERATE SIERRAS,2020,0,0.0,97,0.0,78572741.49184643,78572099.55011274,0.019415588643521168,0.0,0.0,0.019415747270778248
TEMPERATE SIERRAS,2021,0,0.0,101,0.0,262288188.75542974,262287546.81369606,0.06481266434792268,0.0,0.0,0.06481282297517976
